subject,course_number,name,description
CIVE,460,"Engineering Biomechanics","Introduction to engineering technologies applicable to the field of biomechanics. Specific topics covered may include biological growth, form and function; biomaterials; kinematics and neurology of gait; biotribology; joint anatomy, function and repair; occupational biomechanics; trauma prevention. [Offered: W]"
CIVE,484,"Physical Infrastructure Planning","The need for infrastructure and environmental assessments; the impacts of infrastructure on urban form; core infrastructure concepts; economics of infrastructure costs, finance and pricing. Infrastructure evaluation and management methods."
CIVE,491,"Engineering Law and Ethics","Background (Charter of Rights and Freedoms), contracts, torts (negligent malpractice), forms of carrying on business, professional practice (professional engineers act, joint practice rules, professional misconduct and sexual harassment), alternate dispute resolution, construction liens, intellectual property (patents, trade marks, copyrights and industrial designs), labour relations and employment law, environmental law. [Offered: S]"
CIVE,495,"Design Intensive Special Topics in Civil Engineering","A special course on design intensive advanced topics in civil engineering is offered from time to time, when resources are available. For the current offering, inquire at the Department."
CIVE,497,"Special Topics in Civil Engineering","A special course on advanced topics in civil engineering is offered from time to time, when resources are available. For the current offering, inquire at the Department."
CIVE,505,"Structural Dynamics","Dynamics of discrete and continuous structures. Free and forced vibrations of single and multi-degree of freedom systems. Shock loads, earthquake loads, response spectra. Analysis and design of frames for shock and earthquake loads. [Offered: S]"
CIVE,507,"Building Science and Technology","The building process. Loadings; gravity, wind, thermal, moisture, and fire. Enclosure design; walls, windows, and roof. Subgrade construction. Energy related considerations. [Offered: W]"
CIVE,512,"Rehabilitation of Structures","This course deals with the assessment, rehabilitation and/or strengthening of building and bridge infrastructure. Topics include damage mechanisms, instrumentation and non-destructive test methods, conventional repair techniques, innovative repair and strengthening techniques with composites. Case studies provide students with the opportunity to learn from field applications. The laboratory portion involves test methods used to evaluate repair and strengthening measures. [Offered: W]"
CIVE,542,"Pavement Structural Design","Pavement design, soil identification, subgrade design, base courses, flexible pavement design, design and testing of asphaltic concrete mixes, surface treatments. [Offered: W]"
CIVE,554,"Geotechnical Engineering 3","Simulation of geotechnical consulting practice. Students are required to complete several projects, based on actual case studies, which require problem identification, evaluation of geotechnical data, analysis, design, and report preparations. [Offered: W]"
CIVE,583,"Design of Urban Water Systems","Design of water supply and distribution systems. Design of waste and storm water collection systems. Storm water management. The course consists of 24 hours of lectures and a subdivision design project. The emphasis is on computer aided design and sustainability, using commonly used software packages. [Offered: W]"
CIVE,596,"Construction Engineering","Topics in construction engineering and management including methods of delivering construction, contractual relationships, prevailing construction practices, construction equipment, concrete form design, concrete, steel, and masonry construction, introduction to trenchless technology, construction safety, planning and scheduling of repetitive construction, cash flow analysis, and construction project control. [Offered: S]"
CIVE,601,"Engineering Risk and Reliability","This course gives a broad treatment of the subject of engineering decision, risk, and reliability. Emphasis is on (1) the modelling of engineering problems and evaluation of systems performance under conditions of uncertainty; (2) systematic development of design criteria, explicitly taking into account the significance of uncertainty; and (3) logical framework for risk assessment and risk-benefit tradeoffs in decision making. The necessary mathematical concepts are developed in the context of engineering problems."
CIVE,602,"Prestressed Concrete","This course emphasizes the basic concepts in prestressed concrete analysis and design. Prestressing methods: pre-tensioning vs. post-tensioning. Serviceability and limit state design, prestress losses, flexural design of bonded and unbonded sections, fully prestressed vs. partially prestressed sections, design for shear, compression members, continuous prestressed concrete members."
CIVE,603,"Mechanics of Reinforced Concrete","This course deals with the behaviour of reinforced concrete structures, the analysis of such structures, and the background for the design standards. Topics include the analysis of reinforced concrete structures, shear in reinforced concrete members, members in bending and axial loading, and connections."
CIVE,604,"Advanced Structural Steel Design","This course deals with limit states design, torsional analysis of structural steel members; bolted and welded connections; stability and vibration; analysis and design of braced and unbraced steel frames, long span structures, and industrial steel buildings."
CIVE,610,Elasticity,"Analysis of strain and stress; stress-strain relations; equations of elasticity; plane strain, plane stress and generalized plane stress; torsion and flexure; three-dimensional problems; variational methods; dynamical problems."
CIVE,614,"Structural Dynamics","Introduction to the mechanics of vibrations and Laplace transforms: dynamics of discretized systems; one degree of freedom systems; free and forced vibration; response to base excitation, stochastic excitation, impact. Lumped - mass multidegree systems: free and forced vibration of two degrees of freedom systems in response to harmonic and step functions, pulses, and general type. Matrix formulation for multiple degrees of freedom, natural frequencies (matrix iteration, Stodola-Vianello, Rayleigh), Lagrange equations, modal analysis. Flexural vibrations of beams, plates and frames. Earthquake response of single and multistorey buildings and practical considerations of earthquake design."
CIVE,622,"Finite Element Analysis","This course focuses on the development of the basic fundamentals of finite element method with applications in fluid flow, mass transport, solid mechanics and structures. Topics include discrete problems, matrix methods, variational principle, method of weighted residuals, element shapes, and interpolation functions."
CIVE,640,"Urban Transportation Planning Models: Principles & Applications","Urban transportation planning models.  land use transportation interaction, trip production and attraction, trip distribution, mode choice, tree building and capacitated and uncapacitated route assignment, aggregate and disaggregate model analysis."
CIVE,641,"Advances in Public Transportation Planning, Operations & Control","The focus of this course is on the use of quantitative techniques to analyse and solve problems arising in the planning, design, operation and management of urban public transportation systems.  Topics include an introduction to public transportation modes, transit performance analysis, fleet sizing and route design; control of transit operations, and paratransit planning, scheduling and dispatching. The course also covers various transit modelling issues arising in the Advanced Public Transportation Systems that aim at maximising transit system efficiency and reliability using emerging technologies such as global positioning systems (GPS), electronic fare payment, and automatic passenger counters and pre-trip/en-route passenger information systems."
CIVE,642,"Pavement Design and Management I","This course will focus on the fundamentals of pavement design, construction and management systems.  Structural behaviour of flexible and rigid pavements will be discussed in detail.  Other topics covered in the course will include: testing of pavement materials including aggregates, asphalt, concrete and various other specialized pavement materials, pavement distresses such as fatigue, rutting and temperature related cracking and the key elements to pavement management systems and their operation.  Theoretical principles are combined with practical examples of working systems that enable students to carry out various analyses of hypothetical and real life situations."
CIVE,643,"Fundamentals of Traffic Flow Theory","This course examines the formulation, derivation, and application of theories associated with traffic flow on interrupted and uninterrupted road networks.  Topics include traffic stream characteristics, human factors, car following models, safety, energy and emissions, and traffic flows at signalised and unsignalised intersections. Theoretical models will be tested using field data and simulation."
CIVE,644,"Innovative and Sustainable Infrastructure Materials","The course focuses on the characterization, behaviour, and the design of the principal materials used in civil engineering projects (natural and artificial aggregates, bituminous and hydraulic binders, asphalt mixes and Portland cement concrete). Other topics covered include: innovation and sustainability practices in the field civil engineering material, the use of alternative materials and by-products, carbon footprint, conventional and advanced manufacturing, smart and high-performance materials, life cycle analysis."
CIVE,645,"Modeling Transportation and Spatial Economics","This course focuses on modeling the Spatial Economic and Transportation Interaction (SETI) process for the purposes of freight flow forecasting, land use transportation interaction modeling, and economic impact analysis of transportation infrastructure. Topics in the course include the specification, estimation, validation, calibration, and application of econometric input-output models, spatial computable general equilibrium models, and agent-based models of transportation and land use."
CIVE,646,"Computer Applications in Transportation Engineering","This course focuses on the fundamentals behind some of the most popular computer software packages used in the planning, design, operations, and management of transportation systems. Topics include signal optimization and evaluation at various levels of spatiotemporal scales, forecasting of traffic flows and passenger volumes for both long-term and short-term planning, simulation of traffic and transit systems, design and evaluation of Intelligent Transportation Systems."
CIVE,650,"Earth Structures Case Histories","Principles and elements of the design and analysis of earth dams and embankments. Field exploration; laboratory tests; design requirements; seepage control; methods of stability analysis for circular and non-circular slip surfaces; computer applications; stability coefficients. Introduction to dynamic (earthquake) analysis; soil liquefaction; tailings disposal systems. Stability of natural slopes and cuts."
CIVE,653,"Numerical Methods in Geomechanics","Theoretical basis of numerical modeling in geomechanics; constitutive relationships and failure models for soils and rocks; numerical implementation of constitutive models in finite element and finite difference computer codes; engineering applications in areas of embankment and slope stability, mining, tunneling, soil and structure interaction.  The course is structured to provide theorectical understanding and hands-on expericence with geotechnical analyses using FLAC3D computer code."
CIVE,670,"Physico-Chemical Processes of Water and Wastewater Treatment","Principles and design of physico-chemical processes for effecting water quality transformations in water. Process dynamics, reactions and reactors. Filtration, coagulation, flocculation adsorption and ion exchange. Membrane processes including reverse osmosis, electrodialysis and ultrafiltration. Principles of aeration and gas transfer, disinfection solid liquid separation and sludge handling."
CIVE,671,"Aquatic Chemistry","The course content includes, but is not limited to: the kinetics and thermodynamics of chemical reactions, acid-base chemistry, solubility and complexation chemistry, redox reactions and essential elements of organic chemistry. The information is applied to water and wastewater treatment processes, and to natural aqueous environmental systems such as those that may be found in stream deposits and groundwater."
CIVE,673,"Mathematical Methods in Environmental Engineering","This course covers a variety of mathematical concepts and methods needed to develop deterministic models of water and environmental systems governed by ordinary and partial differential equations, including analytical and numerical solution of ODEs/PDEx using Laplace and Fourier transforms, Green's functions, superposition, finite difference methods, finite element methods, complex variable theory, eigenmethods, vector calculus, separation of variables, Sturm-Liouville theorem and others."
CIVE,680,"Water Management","Multipurpose nature of water resouces planning and operational problems - cost and benefit variations in water resouces and conditions for project optimality.  Optimization techniques - linear programming, dynamic programming, non-linear optimization - water management examples.  Capacity expansion problems and long-term planning problems - short-term operation problems - operations decisions for power generation, flood control and irrigation releases as examples - multi-objective analysis models.  Simulation of water resouce systems.  Introduction to stochasti optimization of water resource systems."
CIVE,681,"Surface Water: Theory and Modelling","This course will introduce surface water modelling and the role it plays in environmental modelling.  The emphasis will be on physical processes that are relevant to near surface partitioning of the energy and water budget; methods for basin representation, including options for sub-grid process; and introduction to data handling, including data acquisition, data sources, remote sensing imagery, digital terrain models, mapping methods."
CIVE,682,"Free Surface Hydraulics","Review of continuity, energy and momentum equations, resistance to flow in open channels. Gradually varied unsteady flow equations and kinematic wave approximation. Sediment transport equations and channel stability. Similitude of scale models, including distortion effects, laboratory techniques, and case studies."
CIVE,701,"Topics in Mechanics",
CIVE,703,"Cold Formed Steel Design","Covered in this course are the major topics relating to the behaviour and design of cold formed steel structural elements and members. More specifically, the following topics will be addressed from a theoretical and design point of view: local buckling of compression elements subjected to uniform stress and stress gradient; design of flexural members, compression members, beam-columns, composite steel deck slabs and connections; diaphragm design and lightweight steel framing. The governing Canadian CSA Standard S 136 will be used as a guide document."
CIVE,704,"Bridge Design","The course is based on the development of the Ontario Highway Bridge Design Codes (Editions 1, 2 and 3), and the Canadian Highway Bridge Design Code, as well as experience with the Limit States Design versions of AASHTO Specifications.  The course outline will generally follow these topics as these apply to short and intermediate span structures in North America: Bridge Geometry - types of bridges and various cross sections: Vehicle Loads including dynamic effects, temperature and wind: Earth Forces: Seismic Effects: Load Distribution - how are vehicle force effects transferred to the superstructure, for various cross sectional geometries: Design Criterion - limit states design: Fatigue in Connections: Foundation Design - pile and shallow foundations: Examples of Various Simple Span Designs: Concrete - Prestressed Concrete: Structural Steel: Repair and Rehabilitation."
CIVE,707,"Advanced Building Science","This course deals with the science of heat and air flow, moisture storage and transport, and psychrometrics.  Through the use of worked examples, these principles are applied to the analysis of typical building enclosure systems. Basic concepts are developed for the design of building details that are effective in the control of heat, air, vapour, rain, and that accommodate building movements.  Various case studies of problems and solutions will be used."
CIVE,710,"Advanced Project Management","This course presents advanced construction engineering and project management techniques that can be applied to improve cost, schedule, safety, and quality of projects.  The course covers a variety of topics including: Critical Path Method; bidding strategy models; uncertainty and risk assessment; multiple-criteria decision analysis; planning of linear, repetitive, and distributed projects; project control and delay analysis; Enterprise Resource Planning; heavy construction equipment and methods; modelling and simulation; construction methods design; positioning and locating technologies; equipment automation and robotics; opportunity analysis and process of innovation; modularization and prefabrication; and construction human resource management."
CIVE,711,"Computer-Aided Project Organization and Management","This course deals with the application of computerized tools to develop decision-support systems to effectively manage time, money, and resources associated with construction projects.  It covers: introduction to computer tools, review of the CPM method and project management software, optimization using Excel Solver, Expert Systems, Neural Networks, OOP programming, Genetic Algorithms, process modeling and simulation, multi-criteria decision-making, integrated project Management tools, networking, workgroup management, Internet, dealing with project uncertainty using Monte-Carlo simulation, various case studies and computer workshops."
CIVE,720,"Infrastructure Management","This course will focus on the fundamentals of infrastructure management for civil engineering.  It will integrate design, construction, maintenance, rehabilitation and renovation with management procedures and systems.  A framework for asset management including the importance of asset valuation, needs assessment, and performance indicators will be discussed in detail.  Other topics covered in the course will include: sustainability concepts, decision support systems, database management, role of data in infrastructure management, monitoring and evaluation needs, failure analysis, quality management, economics and life cycle cost analysis and optimization.  This course will combine theoretical principles with practical application.  The course will include practical examples of engineering systems and will provide a basis for subsequent infrastructure management courses."
CIVE,722,"Intermediate Finite Element Analysis","This course focuses on the application of Finite Element Method to time dependent and nonlinear problems and the theory that underpins common engineering software used to analyze the deformation of solids and structures, heat transfer, and porous media flow. Topics include: modal analysis; methods of implicit and explicit time integration; the Newton-Raphson method; uniqueness, stability, and convergence in nonlinear problems; introduction to material and geometrical nonlinearities."
CIVE,740,"Topics in Transportation Engineering",
CIVE,742,"Pavement Design and Management II","This course will focus on advanced pavement engineering.  The course is primarily directed toward the management of existing road networks, with emphasis on pavements. Topics include priority programming of investments, in-service evaluation of structural capacity, serviceability of condition and safety, structural design, construction and maintenance management, and data systems.  Example applications will be provided on various topic areas."
CIVE,752,"Trenchless Technologies","Over the past ten years, a new group of construction methods, known as trenchless technologies, has gained widespread acceptance. Trenchless technologies include methods for installing and rehabilitating underground utility systems with minimal surface disruption and destruction that results from excavation. Underground utility systems include: water and wastewater distribution and collection systems; gas, petroleum and chemical pipelines; electrical and communications networks; access ways; and other small diameter tunnels used for a variety of applications. The objective of this course is to introduce trenchless technology methods and their importance in public works, pipeline construction, and rehabilitation. Students will be exposed to new topics and concepts through class lectures, specified readings, guest presentations, field trips, student seminars, and the completion of assignments. Topics to be covered include horizontal directional drilling, microtunneling, pipeline assessment, pipe bursting, and pipeline rehabilitation and renewal techniques."
CIVE,753,"Geotechnical Earthquake Engineering","This course is designed to help students understand the fundamental principles and practical methods of geotechnical earthquake engineering. This course will present basic concepts of vibratory motion, dynamics, seismology, earthquakes, and strong ground motion, and introduces procedures of deterministic and probabilistic seismic hazard analysis. Basic concepts of wave propagation are used to develop procedures for ground response analysis and to provide insight into such important problems as local site effects, seismic slope stability, and seismic design of retaining structures."
CIVE,771,"Biological Wastewater Treatment: Theory and Practice","This course focuses on theory, modelling and application of microbiological processes that are being utilised in the treatment of wastewater.  A review of relevant concepts in microbiology will be followed by core principles that are used to assess contaminant removal kinetics and to model bioreactor performance.  These principles will be drawn upon in discussion of applications of biological wastewater treatment technologies.  If time permits, advanced topics including nonsteady-state systems and complex multispecies interactions will be introduced."
CIVE,774,"Advanced Numerical Methods for Environmental Applications","The analyses of natural and/or manmade environmental systems commonly lead to quantitative descriptions, or mathematical models, of the underlying chemical, biological and physical processes.  Numerical models are used for complex situations that may involve spatial variability of material properties, non-uniform geometry, and transient boundary conditions.  The objective of this course is to introduce you to theoretical and practical aspects associated with numerical methods for environmental applications.  Topics include: review of field equations, conservation laws, and continua; classification of PDEs; types of boundary and initial conditions; finite difference method, error analysis and stability; equation solvers; weighted residual techniques; finite element method; introduction to the finite volume method; techniques for advective dominated flows; sensitivity methods; and the solution to coupled non-linear equations."
CIVE,776,"Soil & Groundwater Remediation","This course focuses on the various technologies available to remediate soil and groundwater.  Proven, emerging, and innovative technologies are investigated for application to both porous media and fractured porous media subsurface systems.  The underlying theory and relevant engineering design aspects for each technology are presented.  Case studies are critically examined."
CIVE,781,"Principles of Hydrologic Modelling","This course addresses the development of computational models of watershed hydrology in support of water resources management and scientific investigation.  The full model development and application cycle is considered:  Pre-processing, understanding, and generating input forcing data; system discretization and algorithms for simulating hydrologic processes;  parameter estimation; and interpreting model output in the context of often significant system uncertainty.  The course will include practical applications of models to alpine, boreal forest, prairie, and agricultural settings in Canada."
CIVE,799,"Special Topics in Civil Engineering","A focused, condensed course that trains students on a specific skill and knowledge of a narrow special topic in Civil Engineering. It can take a workshop style and can suit executive professionals who want to upgrade specific skills. Four of these quarter courses can be equivalent to a regular graduate course. This allows professional students higher flexibility to customize the content of their courses."
CLAS,100,"An Introduction to Classical Studies","An introduction to Greek and Roman civilization, focusing on six key aspects of the discipline of classical studies: history, literature, philosophy, myth and religion, art and architecture, and classical archaeology."
CLAS,103,"Colossos: The Major Figures of Classical Antiquity","An introductory study of the achievements of ancient Greece and/or Rome through some of their major figures. Each year two figures will be featured. These may include Homer, Pericles, Socrates, Alexander the Great, Cleopatra, Julius Caesar, Augustus, Nero, Seneca, Hadrian, and Constantine. [Note: This is a repeatable course, subject to different content; it may be completed a total of two times.]"
CLAS,104,"Classical Mythology","A study of Greco-Roman mythology and legend, with special emphasis on the Olympian gods and the figure of the hero. Topics may include myths of creation, the rise of the gods, divine myths, the tales surrounding the cities of Troy, Mycenae, and Thebes and the heroes Herakles, Perseus, and Theseus."
CLAS,105,"Introduction to Medieval Studies","An introduction to Medieval European civilization focusing on essential aspects of the discipline: history, literature, philosophy, religion, art, architecture and archaeology, law, and science and technology."
CLAS,123,"Classical Studies in Pop Culture","An introduction to the role that classical studies and the classical cultures have played in pop culture. This course will examine specific references, such as ancient Greek myths, and more general trends, such as literary types, in contemporary movies, television shows, comic books, and video games to illustrate the continued fascination with the cultures of Ancient Greece and Rome."
CLAS,201,"Love, Life, and Death in Greece","This course surveys how different people gave meaning to their lives in ancient Greece. It will cover topics ranging from personal identities, culture wars, sports, art, myth, and history, to sex, slavery, and social justice."
CLAS,202,"Love, Life, and Death in Rome","This course surveys how different people gave meaning to their lives in ancient Roman world. It will cover topics ranging from personal identities, family roles, myth, and history, to sex scandals, slavery, gladiatorial games, and mystery cults."
CLAS,205,"Medieval Society","A survey of Medieval civilization featuring such topics as the individual, political institutions, art, architecture, religion, philosophy, literature, social life, and leisure activities."
CLAS,210,"History of Ancient Law","A historical introduction to law in the ancient world. Babylonian, Assyrian, Hittite, and Roman law, legal practices, and concepts will be examined."
CLAS,220,"Philosophy of Friendship","Friendship is an essential part of a happy life. Ancient western philosophers made friendship one of the cornerstones of their ethics. This course is an exploration of their views on problems such as the necessity of friendship, its nature, its species, and its relationship to happiness and the political community."
CLAS,221,"Introduction to Archaeology","An introduction to the working assumptions, analytic approaches, and integrative and descriptive methods of archaeological anthropology."
CLAS,225,"Classics in Political Thought","Where do the core tenets of Western political philosophy come from? In this course students will trace the development of political philosophy by examining Ancient Greek plays (e.g., Antigone, Medea) and foundational political texts (e.g., Plato's Republic, Aristotle's Politics) which set the stage for modern Western political thought (Machiavelli and after)."
CLAS,230,"Greek and Latin Scientific Terminology","This course is an introduction to decoding the vocabulary of many modern scientific, technical, and medical disciplines. The main focus will be on learning the important Greek and Latin word elements found in technical vocabulary, as well as the rules by which words take shape."
CLAS,231,"Studies in Ancient Greek Literature","Special topics in ancient Greek literature, as announced by the department. Authors, works, time periods, and topics will vary. Authors studied may include Homer (epic), Euripides (tragedy), Aristophanes (comedy), Thucydides (history), Sappho (poetry), and Plato (philosophy). Topics by which the course will be organized may include gender, slavery, politics, war, peace, death, and love. [Note: This is a repeatable course, subject to different content; it may be completed a total of four times.]"
CLAS,232,"Studies in Ancient Roman Literature","Special topics in ancient Roman literature, as announced by the department. Authors, works, time periods, and topics will vary. Authors studied may include Vergil (epic), Seneca (tragedy), Plautus (comedy), Livy (history), Catullus (poetry), and Lucretius (philosophy). Topics by which the course will be organized may include gender, slavery, politics, war, peace, death, and love. [Note: This is a repeatable course, subject to different content; it may be completed a total of four times.]"
CLAS,237,"The Ancient Near East and Egypt","A study of the civilizations of the ancient Near East focusing on Mesopotamia (Sumer and Akkad, the Babylonian Dynasty, and the Third Dynasty of Ur), Hatti, Assyria, Egypt, and Persia."
CLAS,241,"Survey of Greek Art and Architecture","A survey of Greek art and architecture from the earliest times to the coming of the Romans. Material studied may include the art of the Bronze Age, the development of Greek sculpture, the evolution of the Acropolis at Athens, and the change in art and architecture after Alexander the Great."
CLAS,242,"Survey of Roman Art and Architecture","A survey of Roman art and architecture from the earliest times to the age of Constantine the Great. Material studied may include the art of the Etruscans, the evolution of Roman portraiture, innovations in architectural materials and forms, the use of art and architecture by the Emperors, and the change to Late Antique art."
CLAS,251,"Greek History","A survey of ancient Greek history, from the Bronze Age to Alexander the Great, emphasizing particularly its political and military aspects."
CLAS,252,"Roman History","A survey of ancient Roman history, from the Republic to the Empire, emphasizing particularly its political and military aspects."
CLAS,260,"Ancient Science","The ancient Greeks developed scientific theories that were influential for over a thousand years. Their worldview was different from ours, but they sought to explain some of the same phenomena that we grapple with today. In this course, we will study ancient Greek theories and methodologies in the sciences, which may include physics, astronomy, mathematics, meteorology, cosmology, astrology, and geography."
CLAS,261,"Great Works: Ancient and Medieval","A historical survey of ancient and medieval philosophy in the Western tradition."
CLAS,311,"Sex and Gender in the Ancient World","This course examines a variety of issues around sexuality and gender relations in antiquity, including sexual mores and behaviours; literary, artistic, and philosophical constructs of gender; the roots of misogyny; and the legal and social restrictions placed on women in most ancient societies."
CLAS,321,"Archaeology of Complex Cultures","Cultural development from the agricultural revolution to the rise of literacy. Special attention to the development of agriculture as a means of subsistence and to the rise of early civilization. Areas and periods of emphasis will vary from year to year."
CLAS,325,"Greek and Roman Religion","An examination of the religious beliefs and cult practices of the classical world. Topics include prayer and sacrifice; divination and oracles; temples, priests, and festivals; mystery cults and their relation to Christianity.  [Note: This course fulfills an Area 1 requirement for Religious Studies majors.]"
CLAS,326,"The Body, Dress, and Religion","From clothing to hairstyles to tattoos, dress can express beliefs, aspects of identity, and power. This course examines dress in a variety of religions from ancient Greece to the modern era. The course includes attention to the look and feel of dress on the body, conflicts that can arise over dress and religion, as well as the role of dress in the formation and maintenance of religious communities. [Note: The course fulfils an Area 3 requirement for Religious Studies majors.]"
CLAS,327,"Astrology and Magic","An examination of the theory and practice of astrology and magic in the classical and medieval worlds. Topics include the relationship of astrology and magic to traditional Greco-Roman religion and Christianity, occult practices, and the people who performed them."
CLAS,331,"Advanced Studies in Ancient Literature","An in-depth examination, through English translation, of a genre(s), author(s), or selected topic(s) in Greek and/or Roman literature. Material studied may include the genres of epic, tragedy, comedy, lyric, and satire, and authors such as Homer,  Virgil, Sophokles, Seneca, Aristophanes, Menander, Plautus, Sappho, Pindar, Catullus, and Horace. [Note: This is a repeatable course, subject to different content; it may be completed a total of four times.]"
CLAS,341,"Advanced Studies in Greek Art and Architecture","An advanced survey of the art and architecture from a selected time period of Greek history. Material studied may include the art and architecture of the Aegean Bronze Age, and the Archaic, Classical, and Hellenistic periods. Archaeological, historical, and cultural issues specific to each time period will be discussed through the important media of the day. [Note: This is a repeatable course, subject to different content; it may be completed a total of four times.]"
CLAS,342,"Advanced Studies in Roman Art and Architecture","An advanced survey of the art and architecture from a selected time period of Roman History. Material studied may include the art and architecture of the Etruscans, the Roman Republic, and the Roman Empire. Archaeological, historical, and cultural issues specific to each time period will be discussed through the important media of the day. [Note: This is a repeatable course, subject to different content; it may be completed a total of four times.]"
CLAS,351,"Advanced Studies in Greek History","An advanced study of aspects of Greek history, through the examination of a specific time period, event(s), or theme(s). Topics studied may include the Archaic Age and the rise of the Polis, the Persian Wars, the Peloponnesian War, conflict in the fourth century BCE, the history of the Hellenistic period, and Greek social history. [Note: This is a repeatable course, subject to different content; it may be completed a total of four times.]"
CLAS,352,"Advanced Studies in Roman History","An advanced study of aspects of Roman history, through the examination of a specific time period, event(s) or theme(s). Topics studied may include the Punic Wars, the end of the Republic, the Julio-Claudian Dynasty, history of the High Empire, later Roman history, and Roman social history. [Note: This is a repeatable course, subject to different content; it may be completed a total of four times.]"
CLAS,361,"History of Ancient Philosophy","In this course students will examine one or more important figures, periods, or issues in ancient philosophy. Plato and Aristotle are among the philosophers who may be covered. [Note: This is a repeatable course, subject to different content; it may be completed a total of three times.]"
CLAS,384,"Science and Technology of Ancient Greece and Rome","A study of scientific thought and achievements in such areas as astronomy, biology, anatomy, and medicine, and of the technological skills which produced and distributed raw materials, manufactured goods, and agricultural products."
CM,730,"Introduction to Symbolic Computation","An introduction to the use of computers for symbolic mathematical computation, involving traditional mathematical computations such as solving linear equations (exactly), analytic differentiation and integration of functions, and analytic solution of differential equations."
CM,740,"Fundamentals of Optimization","Linear optimization: Farkas' Lemma, duality, Simplex method, geometry of polyhedra. Combinatorial optimization: integrality of polyhedra, total unimodularity, flow problems, weighted bipartite matching. Continuous optimization: convex sets, Separation Theorem, convex functions, analytic characterizations of convexity, Karush-Kuhn-Tucker Theorem."
CM,750,"Numerical Solution of Partial Differential Equations","Discretization methods for partial differential equations, including finite difference, finite volume and finite element methods. Application to elliptic, hyperbolic and parabolic equations. Convergence and stability issues, properties of discrete equations, and treatment of non-linearities. Stiffness matrix assembly and use of sparse matric software. Students should have completed a course in numerical computation at the undergraduate level."
CM,761,"Computational Inference","Introduction to and application of computational methods in statistical inference. Monte Carlo evaluation of statistical procedures, exploration of the likelihood function through graphical and optimization techniques. Topics include expectation-maximization, bootstrapping, Markov Chain Monte Carlo, and other computationally intensive methods."
CM,762,"Data Visualization","Visualization methods applied to data. Both human perception and statistical properties inform the methods used to display and visually explore categorical, continuous, time-ordered, map, and high dimensional data. Order and layout effects on tables and graphics. Statistical concepts visually presented include variability, densities, quantiles, conditioning, and hypothesis testing. Interactive graphics include linking, brushing, motion, and the navigation of high dimensional spaces guided via projection indices. Glyphs (e.g. cartoon, statistical, or heatmap) and radial and parallel coordinates."
CM,763,"Statistical Learning - Classification","Classification is the problem of predicting a discrete outcome from a set of explanatory variables. Main topics include logistic regression, neural networks, tree-based methods, support vector machines and nearest neighbour methods. Other topics include model assessment, training and tuning."
CM,764,"Statistical Learning - Advanced Regression","This course introduces modern applied regression methods for continuous response modelling, emphasizing both explainability and predictive power. Topics cover a wide selection of advanced methods useful to address the challenges arising from real-world and high-dimensional data; methods include robust regression, nonparametric regression such as smoothing splines, kernels, additive models, tree based methods, boosting and bagging, and penalized linear regression methods such as the ridge regression, lasso, and their variants. Students will gain an appreciation of the mathematical and statistical concepts underlying the methods and also computational experience in applying the methods to real data."
CM,770,"Numerical Analysis","Introduction to basic algorithms and techniques for numerical computing.  Error analysis, interpolation (including splines), numerical differentiation and integration, numerical linear algebra (including methods for linear systems, eigenvalue problems, and the singular value decomposition), root finding for nonlinear equations and systems, numerical ordinary differential equations, and approximation methods (including least squares, orthogonal polynomials, and Fourier transforms)."
CMW,363,"The Christian Hymn","The origins of the Christian hymn and its development up to the present. The course considers the hymn as theological, poetic, musical, cultural, and spiritual expression, and the use of hymns in a variety of worship settings.  [Note: This course fulfils an Area 2 requirement for Religious Studies majors.]"
CMW,364,"Worship and its Music","The nature of worship and the role of music within worship in historical, theological, and cultural perspectives. Field trips to services of various traditions. [Note: This course fulfils an Area 2 requirement for Religious Studies majors.]"
CMW,390,"Special Topics in Church Music and Worship","Term courses will be offered from time to time as announced. Topics will be dependent on research and/or instructional interests of faculty."
CO,227,"Introduction to Optimization (Non-Specialist Level)","A broad introduction to the field of optimization, discussing applications, and solution techniques. Mathematical models for real life applications; algorithms: simplex, cutting plane, and branch & bound; linear programming duality. [Offered: F,W]"
CO,250,"Introduction to Optimization","A broad introduction to the field of optimization, discussing applications, and solution techniques. Mathematical models for real life applications; algorithms; aspects of computational complexity; geometry; linear programming duality, focusing on the development of algorithms. [Offered: F,W,S]"
CO,255,"Introduction to Optimization (Advanced Level)","Linear optimization: feasibility theorems, duality, the simplex algorithm. Discrete optimization: integer linear programming, cutting planes, network flows. Continuous optimization: local and global optima, feasible directions, convexity, necessary optimality conditions. [Note: CO 255 may be substituted for CO 250 whenever the latter is a requirement in an Honours plan. Offered: W]"
CO,327,"Deterministic OR Models (Non-Specialist Level)","An applications-oriented course that illustrates how various mathematical models and methods of optimization can be used to solve problems arising in business, industry, and science. [Offered: W,S]"
CO,330,"Combinatorial Enumeration","The algebra of formal power series. The combinatorics of the ordinary and exponential generating series. Lagrange's implicit function theorem, applications to the enumeration of permutations, functions, trees and graphs. Integer partitions, geometric methods, enumerating linear transformations. Introduction to the pattern algebra, applications to the enumeration of strings. Lattice paths, Wiener-Hopf factorization. Enumeration under symmetries. [Offered: F]"
